Position;Track Name;Artist;Streams;Date;Genre
185;Facas - Ao Vivo;Diego & Victor Hugo;670740;24.01.21;['latin pop', 'latin', 'latin arena pop', 'mexican pop', 'post-teen pop']
186;when the party's over;Billie Eilish;667237;24.01.21;['pop', 'electropop']
187;Without Me;Halsey;665559;24.01.21;['pop', 'etherpop', 'post-teen pop', 'electropop', 'dance pop', 'indie poptimism']
188;Electric Love;BØRNS;665299;24.01.21;['modern rock', 'modern alternative rock', 'pop', 'electropop']
189;Dancing in My Room;347aidan;660759;24.01.21;['sad rap']
190;Smells Like Teen Spirit;Nirvana;660175;24.01.21;['grunge', 'permanent wave', 'alternative rock', 'rock']
191;The Less I Know The Better;Tame Impala;655802;24.01.21;['australian psych', 'neo-psychedelic']
192;I Don't Care (with Justin Bieber);Ed Sheeran;654909;24.01.21;['uk pop', 'pop']
193;changes;XXXTENTACION;654154;24.01.21;['miami hip hop', 'emo rap']
194;De Cora <3;Rauw Alejandro;653881;24.01.21;['puerto rican pop', 'trap latino']
195;Wasted On You;Morgan Wallen;653210;24.01.21;['contemporary country']
196;Be Alright;Dean Lewis;652093;24.01.21;['indie cafe pop', 'pop', 'australian pop', 'pop rock', 'post-teen pop']
197;Tú Me Dejaste De Querer;C. Tangana;646584;24.01.21;['urbano espanol']
198;De Una Vez;Selena Gomez;644536;24.01.21;['pop', 'post-teen pop', 'dance pop']
199;Thinking out Loud;Ed Sheeran;639793;24.01.21;['uk pop', 'pop']
200;Go Crazy;Chris Brown;639535;24.01.21;['pop rap', 'dance pop', 'pop', 'r&b', 'rap']
1;drivers license;Olivia Rodrigo;9330331;25.01.21;['pop']
2;DÁKITI;Bad Bunny;3915909;25.01.21;['trap latino', 'reggaeton', 'latin']
3;Blinding Lights;The Weeknd;3198012;25.01.21;['canadian pop', 'canadian contemporary r&b', 'pop']
4;Mood (feat. iann dior);24kGoldn;3015444;25.01.21;['cali rap']
5;Good Days;SZA;3003131;25.01.21;['pop', 'r&b', 'pop rap']
6;BICHOTA;KAROL G;2792726;25.01.21;['reggaeton colombiano', 'trap latino', 'reggaeton', 'latin']
7;positions;Ariana Grande;2764749;25.01.21;['pop', 'post-teen pop', 'dance pop']
8;WITHOUT YOU;The Kid LAROI;2732158;25.01.21;['australian hip hop']
9;Save Your Tears;The Weeknd;2679764;25.01.21;['canadian pop', 'canadian contemporary r&b', 'pop']
10;Bandido;Myke Towers;2615032;25.01.21;['trap latino']
11;Whoopty;CJ;2514447;25.01.21;['nyc rap']
12;Dynamite;BTS;2398680;25.01.21;['k-pop boy group', 'k-pop']
13;Anyone;Justin Bieber;2371714;25.01.21;['canadian pop', 'post-teen pop', 'pop']
14;Lemonade (feat. Gunna, Don Toliver & NAV);Internet Money;2343498;25.01.21;['trap', 'rap', 'pop rap']
15;34+35;Ariana Grande;2281313;25.01.21;['pop', 'post-teen pop', 'dance pop']
16;Levitating (feat. DaBaby);Dua Lipa;2279183;25.01.21;['uk pop', 'pop', 'dance pop']
17;LA NOCHE DE ANOCHE;Bad Bunny;2243034;25.01.21;['trap latino', 'reggaeton', 'latin']
18;Hecha Pa' Mi;Boza;2224554;25.01.21;['reggaeton']
19;Streets;Doja Cat;2131178;25.01.21;['pop', 'dance pop']
20;The Business;Tiësto;2128472;25.01.21;['slap house', 'dutch edm', 'brostep', 'big room', 'pop dance', 'edm', 'tropical house', 'trance', 'house', 'dance pop']
21;Lo Vas A Olvidar (with ROSALÍA);Billie Eilish;2081827;25.01.21;['pop', 'electropop']
22;you broke me first;Tate McRae;2057770;25.01.21;['pop', 'alt z', 'post-teen pop', 'electropop', 'dance pop']
23;Therefore I Am;Billie Eilish;2037293;25.01.21;['pop', 'electropop']
24;What You Know Bout Love;Pop Smoke;1926895;25.01.21;['brooklyn drill']
25;Monster (Shawn Mendes & Justin Bieber);Shawn Mendes;1793415;25.01.21;['pop', 'canadian pop', 'viral pop', 'post-teen pop', 'dance pop']
26;Paradise (feat. Dermot Kennedy);MEDUZA;1787607;25.01.21;['pop house', 'pop dance', 'tropical house', 'edm', 'dance pop']
27;Someone You Loved;Lewis Capaldi;1774832;25.01.21;['uk pop', 'pop']
28;Hawái;Maluma;1701651;25.01.21;['reggaeton colombiano', 'reggaeton', 'latin']
29;Watermelon Sugar;Harry Styles;1699416;25.01.21;['pop', 'post-teen pop']
30;Prisoner (feat. Dua Lipa);Miley Cyrus;1692120;25.01.21;['pop', 'post-teen pop', 'dance pop']
31;Head & Heart (feat. MNEK);Joel Corry;1672663;25.01.21;['uk dance', 'pop dance', 'tropical house', 'dance pop', 'edm']
32;Reloj;Rauw Alejandro;1650088;25.01.21;['puerto rican pop', 'trap latino']
33;Lonely (with benny blanco);Justin Bieber;1643931;25.01.21;['canadian pop', 'post-teen pop', 'pop']
34;WAP (feat. Megan Thee Stallion);Cardi B;1620636;25.01.21;['pop rap', 'pop', 'rap', 'dance pop']
35;willow;Taylor Swift;1572778;25.01.21;['pop', 'post-teen pop']
36;HOLIDAY;Lil Nas X;1542234;25.01.21;['lgbtq+ hip hop', 'pop rap']
37;Sweater Weather;The Neighbourhood;1534017;25.01.21;['shimmer pop', 'modern rock', 'pop', 'modern alternative rock']
38;Afterglow;Ed Sheeran;1530158;25.01.21;['uk pop', 'pop']
39;Heather;Conan Gray;1522255;25.01.21;['bedroom pop', 'pop', 'alt z', 'post-teen pop', 'indie pop', 'electropop']
40;For The Night (feat. Lil Baby & DaBaby);Pop Smoke;1507611;25.01.21;['brooklyn drill']
41;ROCKSTAR (feat. Roddy Ricch);DaBaby;1506797;25.01.21;['north carolina hip hop', 'rap']
42;La Nota;Manuel Turizo;1505551;25.01.21;['reggaeton colombiano', 'colombian pop', 'reggaeton', 'trap latino', 'latin']
43;Snowman;Sia;1482620;25.01.21;['pop', 'australian dance', 'australian pop', 'dance pop']
44;Dance Monkey;Tones And I;1476365;25.01.21;['australian pop', 'pop']
45;Roses - Imanbek Remix;SAINt JHN;1472084;25.01.21;['melodic rap', 'slap house', 'rap', 'pop rap']
46;Heat Waves;Glass Animals;1403866;25.01.21;['gauze pop', 'shiver pop', 'indietronica']
47;Don't Start Now;Dua Lipa;1386934;25.01.21;['uk pop', 'pop', 'dance pop']
48;Skin;Sabrina Carpenter;1374921;25.01.21;['pop', 'post-teen pop', 'viral pop', 'alt z', 'dance pop', 'electropop']
49;BEBÉ;Camilo;1365068;25.01.21;['reggaeton colombiano', 'colombian pop']
50;GIRL LIKE ME;Black Eyed Peas;1360108;25.01.21;['dance pop', 'pop rap', 'pop']
51;Before You Go;Lewis Capaldi;1351988;25.01.21;['uk pop', 'pop']
52;Ropa Cara;Camilo;1346059;25.01.21;['reggaeton colombiano', 'colombian pop']
53;Chica Ideal;Sebastian Yatra;1332999;25.01.21;['reggaeton colombiano', 'colombian pop', 'reggaeton', 'latin']
54;Goosebumps;HVME;1298282;25.01.21;['slap house']
55;Antes;Anuel AA;1245517;25.01.21;['trap boricua', 'trap latino', 'reggaeton', 'reggaeton flow', 'latin']
56;TE MUDASTE;Bad Bunny;1199151;25.01.21;['trap latino', 'reggaeton', 'latin']
57;Relación - Remix;Sech;1190874;25.01.21;['panamanian pop', 'trap latino', 'reggaeton', 'latin']
58;lovely (with Khalid);Billie Eilish;1169069;25.01.21;['pop', 'electropop']
59;Laugh Now Cry Later (feat. Lil Durk);Drake;1168024;25.01.21;['toronto rap', 'canadian pop', 'canadian hip hop', 'rap', 'pop rap', 'hip hop']
60;Vida de Rico;Camilo;1166705;25.01.21;['reggaeton colombiano', 'colombian pop']
61;Best Friend (feat. Doja Cat);Saweetie;1165347;25.01.21;['trap queen', 'pop', 'pop rap', 'cali rap', 'dance pop']
62;death bed (coffee for your head);Powfu;1150792;25.01.21;['sad rap']
63;Holy (feat. Chance The Rapper);Justin Bieber;1147950;25.01.21;['canadian pop', 'post-teen pop', 'pop']
64;La Tóxica;Farruko;1144299;25.01.21;['reggaeton', 'latin', 'latin hip hop', 'trap latino']
65;Life Goes On;BTS;1140911;25.01.21;['k-pop boy group', 'k-pop']
66;Golden;Harry Styles;1133168;25.01.21;['pop', 'post-teen pop']
67;Train Wreck;James Arthur;1127402;25.01.21;['pop', 'uk pop', 'talent show', 'post-teen pop']
68;Take You Dancing;Jason Derulo;1126420;25.01.21;['dance pop', 'pop', 'post-teen pop', 'pop rap']
69;Lucid Dreams;Juice WRLD;1115901;25.01.21;['melodic rap', 'chicago rap']
70;Bad Boy (with Young Thug);Juice WRLD;1112434;25.01.21;['melodic rap', 'chicago rap']
71;Breaking Me;Topic;1111268;25.01.21;['german dance', 'pop dance', 'tropical house', 'edm', 'dance pop', 'pop edm']
72;34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix;Ariana Grande;1111004;25.01.21;['pop', 'post-teen pop', 'dance pop']
73;Circles;Post Malone;1107300;25.01.21;['dfw rap', 'melodic rap', 'rap']
74;Goosebumps - Remix;Travis Scott;1096800;25.01.21;['slap house', 'rap']
75;Savage Love (Laxed - Siren Beat);Jawsh 685;1093732;25.01.21;['nz pop']
76;SO DONE;The Kid LAROI;1086350;25.01.21;['australian hip hop']
77;Put Your Records On;Ritt Momney;1082455;25.01.21;['bedroom pop']
78;At My Worst;Pink Sweat$;1081525;25.01.21;['bedroom soul', 'pop']
79;Una Locura;Ozuna;1066203;25.01.21;['puerto rican pop', 'trap latino', 'reggaeton', 'latin']
80;Wishing Well;Juice WRLD;1064929;25.01.21;['melodic rap', 'chicago rap']
81;Sunflower - Spider-Man: Into the Spider-Verse;Post Malone;1064642;25.01.21;['dfw rap', 'melodic rap', 'rap']
82;The Box;Roddy Ricch;1057258;25.01.21;['melodic rap', 'rap', 'trap']
83;UN DIA (ONE DAY) (Feat. Tainy);J Balvin;1049832;25.01.21;['reggaeton colombiano', 'reggaeton', 'trap latino', 'latin']
84;Mi Niña;Wisin;1049717;25.01.21;['latin', 'reggaeton', 'latin hip hop', 'trap latino']
85;All We Got (feat. KIDDO);Robin Schulz;1049614;25.01.21;['german dance', 'tropical house', 'deep euro house', 'pop dance', 'deep house', 'edm', 'pop', 'dance pop']
86;Adore You;Harry Styles;1037153;25.01.21;['pop', 'post-teen pop']
87;goosebumps;Travis Scott;1033786;25.01.21;['slap house', 'rap']
88;Wonder;Shawn Mendes;1013688;25.01.21;['pop', 'canadian pop', 'viral pop', 'post-teen pop', 'dance pop']
89;Hello (feat. A Boogie Wit da Hoodie);Pop Smoke;1009132;25.01.21;['brooklyn drill']
90;Blueberry Faygo;Lil Mosey;1004531;25.01.21;['melodic rap', 'rap conscient', 'vapor trap', 'trap', 'rap']
91;Polvo;Nicky Jam;1000885;25.01.21;['latin', 'reggaeton', 'latin hip hop', 'trap latino']
92;Señorita;Shawn Mendes;998208;25.01.21;['pop', 'canadian pop', 'viral pop', 'post-teen pop', 'dance pop']
93;Ohne Dich;KASIMIR1441;993926;25.01.21;['tekk', 'german alternative rap', 'german trap', 'german hip hop']
94;my ex's best friend (with blackbear);Machine Gun Kelly;993745;25.01.21;['ohio hip hop', 'pop rap']
95;Memories;Maroon 5;988207;25.01.21;['pop', 'pop rock']
96;Jocelyn Flores;XXXTENTACION;981988;25.01.21;['miami hip hop', 'emo rap']
97;Daddy Issues;The Neighbourhood;971798;25.01.21;['shimmer pop', 'modern rock', 'pop', 'modern alternative rock']
98;Head Shoulders Knees & Toes (feat. Norma Jean Martine);Ofenbach;969032;25.01.21;['tropical house', 'pop dance', 'new french touch', 'edm']
99;Astronaut In The Ocean;Masked Wolf;963760;25.01.21;['australian hip hop']
100;Why'd You Only Call Me When You're High?;Arctic Monkeys;963350;25.01.21;['sheffield indie', 'garage rock', 'permanent wave', 'modern rock', 'rock']
101;Robbery;Juice WRLD;960620;25.01.21;['melodic rap', 'chicago rap']
102;Nathy Peluso: Bzrp Music Sessions, Vol. 36;Bizarrap;950386;25.01.21;['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino']
103;Parce (feat. Justin Quiles);Maluma;944887;25.01.21;['reggaeton colombiano', 'reggaeton', 'latin']
104;Jeans;Justin Quiles;942975;25.01.21;['trap latino', 'reggaeton', 'latin']
105;bad guy;Billie Eilish;942336;25.01.21;['pop', 'electropop']
106;Body;Megan Thee Stallion;940658;25.01.21;['trap queen', 'houston rap', 'pop rap', 'pop']
107;Say You Won't Let Go;James Arthur;934829;25.01.21;['pop', 'uk pop', 'talent show', 'post-teen pop']
108;Falling;Trevor Daniel;930967;25.01.21;['melodic rap', 'pop rap', 'alternative r&b']
109;Believer;Imagine Dragons;925805;25.01.21;['modern rock', 'pop', 'rock']
110;All Girls Are The Same;Juice WRLD;914523;25.01.21;['melodic rap', 'chicago rap']
111;Come & Go (with Marshmello);Juice WRLD;914258;25.01.21;['melodic rap', 'chicago rap']
112;Shallow;Lady Gaga;909417;25.01.21;['pop', 'post-teen pop', 'dance pop']
113;Se Te Nota (with Guaynaa);Lele Pons;906327;25.01.21;['viral pop', 'latin pop']
114;HIGHEST IN THE ROOM;Travis Scott;903696;25.01.21;['slap house', 'rap']
115;Vibez;ZAYN;903410;25.01.21;['pop', 'post-teen pop', 'uk pop', 'dance pop']
116;La Curiosidad;Jay Wheeler;903246;25.01.21;['trap latino', 'reggaeton', 'latin']
117;Dreams - 2004 Remaster;Fleetwood Mac;902161;25.01.21;['yacht rock', 'classic rock', 'mellow gold', 'soft rock', 'album rock', 'rock']
118;Falling;Harry Styles;899691;25.01.21;['pop', 'post-teen pop']
119;Life Is Good (feat. Drake);Future;895099;25.01.21;['rap', 'atl hip hop', 'trap', 'pop rap', 'southern hip hop']
120;Stuck with U (with Justin Bieber);Ariana Grande;894952;25.01.21;['pop', 'post-teen pop', 'dance pop']
121;If the World Was Ending - feat. Julia Michaels;JP Saxe;883230;25.01.21;['indie cafe pop', 'pop', 'canadian contemporary r&b', 'alt z', 'post-teen pop']
122;Ay, DiOs Mío!;KAROL G;875001;25.01.21;['reggaeton colombiano', 'trap latino', 'reggaeton', 'latin']
123;Can You Feel My Heart;Bring Me The Horizon;871924;25.01.21;['uk metalcore', 'melodic metalcore', 'metalcore', 'rock']
124;Break My Heart;Dua Lipa;867635;25.01.21;['uk pop', 'pop', 'dance pop']
125;Daisy;Ashnikko;859879;25.01.21;['escape room', 'alt z', 'electropop', 'pop']
126;Dior;Pop Smoke;856110;25.01.21;['brooklyn drill']
127;7 rings;Ariana Grande;855883;25.01.21;['pop', 'post-teen pop', 'dance pop']
128;Perfect;Ed Sheeran;853582;25.01.21;['uk pop', 'pop']
129;Despeinada;Ozuna;851560;25.01.21;['puerto rican pop', 'trap latino', 'reggaeton', 'latin']
130;Do I Wanna Know?;Arctic Monkeys;851395;25.01.21;['sheffield indie', 'garage rock', 'permanent wave', 'modern rock', 'rock']
131;Rain On Me (with Ariana Grande);Lady Gaga;846810;25.01.21;['pop', 'post-teen pop', 'dance pop']
132;SAD!;XXXTENTACION;845466;25.01.21;['miami hip hop', 'emo rap']
133;Sofia;Clairo;845432;25.01.21;['bedroom pop', 'indie pop', 'pop']
134;"All I Want - From ""High School Musical: The Musical: The Series""";Olivia Rodrigo;843588;25.01.21;['pop']
135;Love Not War (The Tampa Beat);Jason Derulo;842962;25.01.21;['dance pop', 'pop', 'post-teen pop', 'pop rap']
136;Tattoo - Remix with Camilo;Rauw Alejandro;839807;25.01.21;['puerto rican pop', 'trap latino']
137;Tusa;KAROL G;839754;25.01.21;['reggaeton colombiano', 'trap latino', 'reggaeton', 'latin']
138;No Te Enamores - Remix;Milly;834907;25.01.21;['trap latino', 'reggaeton flow', 'reggaeton']
139;Hayloft;Mother Mother;832543;25.01.21;['vancouver indie', 'indie pop']
140;Maniac;Conan Gray;826055;25.01.21;['bedroom pop', 'pop', 'alt z', 'post-teen pop', 'indie pop', 'electropop']
141;Mood Swings (feat. Lil Tjay);Pop Smoke;820416;25.01.21;['brooklyn drill']
142;Godzilla (feat. Juice WRLD);Eminem;816454;25.01.21;['detroit hip hop', 'rap', 'hip hop']
143;Take Me To Church;Hozier;813844;25.01.21;['irish singer-songwriter', 'pop', 'modern rock']
144;How You Like That;BLACKPINK;806823;25.01.21;['k-pop girl group', 'k-pop']
145;In Your Eyes;The Weeknd;803464;25.01.21;['canadian pop', 'canadian contemporary r&b', 'pop']
146;pov;Ariana Grande;802474;25.01.21;['pop', 'post-teen pop', 'dance pop']
147;POPSTAR (feat. Drake);DJ Khaled;800709;25.01.21;['pop rap', 'rap', 'miami hip hop', 'southern hip hop', 'trap', 'hip hop']
148;Lifestyle (feat. Adam Levine);Jason Derulo;798178;25.01.21;['dance pop', 'pop', 'post-teen pop', 'pop rap']
149;everything i wanted;Billie Eilish;793872;25.01.21;['pop', 'electropop']
150;Hasta Abajo;Kevin Roldan;791077;25.01.21;['reggaeton colombiano', 'trap latino', 'reggaeton', 'reggaeton flow', 'latin', 'latin hip hop']
151;Ride It;Regard;789994;25.01.21;['slap house', 'pop dance', 'tropical house', 'edm', 'dance pop', 'pop edm']
152;Yellow;Coldplay;787257;25.01.21;['permanent wave', 'pop']
153;Shape of You;Ed Sheeran;785411;25.01.21;['uk pop', 'pop']
154;Los Dioses;Anuel AA;785338;25.01.21;['trap boricua', 'trap latino', 'reggaeton', 'reggaeton flow', 'latin']
155;Hope;XXXTENTACION;783293;25.01.21;['miami hip hop', 'emo rap']
156;All of Me;John Legend;781577;25.01.21;['pop soul', 'neo soul', 'pop', 'r&b', 'urban contemporary']
157;Midnight Sky;Miley Cyrus;778437;25.01.21;['pop', 'post-teen pop', 'dance pop']
158;SICKO MODE;Travis Scott;778315;25.01.21;['slap house', 'rap']
159;Star Shopping;Lil Peep;776717;25.01.21;['lgbtq+ hip hop', 'emo rap']
160;Ponte Pa' Mi;Justin Quiles;773228;25.01.21;['trap latino', 'reggaeton', 'latin']
161;Tyler Herro;Jack Harlow;767449;25.01.21;['kentucky hip hop', 'rap', 'deep underground hip hop', 'pop rap']
162;Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track;Jack Harlow;757830;25.01.21;['kentucky hip hop', 'rap', 'deep underground hip hop', 'pop rap']
163;Somebody’s Problem;Morgan Wallen;756239;25.01.21;['contemporary country']
164;Bohemian Rhapsody - Remastered 2011;Queen;754393;25.01.21;['glam rock', 'classic rock', 'rock']
165;ROXANNE;Arizona Zervas;749411;25.01.21;['rhode island rap', 'pop rap']
166;Hawái - Remix;Maluma;744536;25.01.21;['reggaeton colombiano', 'reggaeton', 'latin']
167;hot girl bummer;blackbear;743856;25.01.21;['pop rap', 'pop', 'electropop', 'modern rock']
168;ily (i love you baby) (feat. Emilee);Surf Mesa;743082;25.01.21;['tropical house']
169;Someone To You;BANNERS;738685;25.01.21;['indie cafe pop', 'pop rock', 'modern rock', 'pop', 'indie poptimism']
170;Toosie Slide;Drake;735288;25.01.21;['toronto rap', 'canadian pop', 'canadian hip hop', 'rap', 'pop rap', 'hip hop']
171;Si Me Tomo Una Cerveza;Migrantes;734840;25.01.21;['cumbia pop']
172;Everybody Dies In Their Nightmares;XXXTENTACION;734117;25.01.21;['miami hip hop', 'emo rap']
173;Intentions (feat. Quavo);Justin Bieber;730433;25.01.21;['canadian pop', 'post-teen pop', 'pop']
174;Without Me;Halsey;723911;25.01.21;['pop', 'etherpop', 'post-teen pop', 'electropop', 'dance pop', 'indie poptimism']
175;Mi Cuarto;Jerry Di;722136;25.01.21;['pop venezolano', 'trap latino', 'cubaton', 'dominican pop', 'reggaeton', 'reggaeton flow']
176;when the party's over;Billie Eilish;721469;25.01.21;['pop', 'electropop']
177;Moonlight;XXXTENTACION;719185;25.01.21;['miami hip hop', 'emo rap']
178;Say So;Doja Cat;717932;25.01.21;['pop', 'dance pop']
179;BOOKER T;Bad Bunny;717541;25.01.21;['trap latino', 'reggaeton', 'latin']
180;La Jeepeta - Remix;Nio Garcia;716043;25.01.21;['trap latino', 'reggaeton', 'latin']
181;Remember That Night?;Sara Kays;713673;25.01.21;['alt z', 'modern indie pop', 'social media pop', 'indie cafe pop', 'pop']
182;Wasted On You;Morgan Wallen;713506;25.01.21;['contemporary country']
183;Electric Love;BØRNS;712893;25.01.21;['modern rock', 'modern alternative rock', 'pop', 'electropop']
184;Mds;Kawe;712686;25.01.21;['funk ostentacao', 'brazilian hip hop']
185;Smells Like Teen Spirit;Nirvana;711799;25.01.21;['grunge', 'permanent wave', 'alternative rock', 'rock']
186;De Una Vez;Selena Gomez;710159;25.01.21;['pop', 'post-teen pop', 'dance pop']
187;I Don't Care (with Justin Bieber);Ed Sheeran;704007;25.01.21;['uk pop', 'pop']
188;Be Alright;Dean Lewis;701925;25.01.21;['indie cafe pop', 'pop', 'australian pop', 'pop rock', 'post-teen pop']
189;Fly Away;Tones And I;700845;25.01.21;['australian pop', 'pop']
190;Dancing in My Room;347aidan;699605;25.01.21;['sad rap']
191;champagne problems;Taylor Swift;698972;25.01.21;['pop', 'post-teen pop']
192;Ele É Ele, Eu Sou Eu;Wesley Safadão;696493;25.01.21;['forro']
193;Diamonds;Sam Smith;690342;25.01.21;['pop', 'uk pop', 'post-teen pop', 'dance pop']
194;The Less I Know The Better;Tame Impala;686424;25.01.21;['australian psych', 'neo-psychedelic']
195;The Hills;The Weeknd;680307;25.01.21;['canadian pop', 'canadian contemporary r&b', 'pop']
196;Thinking out Loud;Ed Sheeran;677688;25.01.21;['uk pop', 'pop']
197;Way Out (feat. Big Sean);Jack Harlow;674901;25.01.21;['kentucky hip hop', 'rap', 'deep underground hip hop', 'pop rap']
198;Go Crazy;Chris Brown;674478;25.01.21;['pop rap', 'dance pop', 'pop', 'r&b', 'rap']
199;Wake Me Up;Avicii;670732;25.01.21;['edm', 'pop dance', 'pop', 'dance pop']
200;Lovesick Girls;BLACKPINK;670372;25.01.21;['k-pop girl group', 'k-pop']
1;drivers license;Olivia Rodrigo;9015604;26.01.21;['pop']
2;DÁKITI;Bad Bunny;3918849;26.01.21;['trap latino', 'reggaeton', 'latin']
3;Blinding Lights;The Weeknd;3203465;26.01.21;['canadian pop', 'canadian contemporary r&b', 'pop']
4;Mood (feat. iann dior);24kGoldn;3038880;26.01.21;['cali rap']
5;Good Days;SZA;2992362;26.01.21;['pop', 'r&b', 'pop rap']
6;positions;Ariana Grande;2779904;26.01.21;['pop', 'post-teen pop', 'dance pop']
7;BICHOTA;KAROL G;2779184;26.01.21;['reggaeton colombiano', 'trap latino', 'reggaeton', 'latin']
8;WITHOUT YOU;The Kid LAROI;2748309;26.01.21;['australian hip hop']
9;Save Your Tears;The Weeknd;2737170;26.01.21;['canadian pop', 'canadian contemporary r&b', 'pop']
10;Bandido;Myke Towers;2637734;26.01.21;['trap latino']
11;Whoopty;CJ;2554815;26.01.21;['nyc rap']
12;Dynamite;BTS;2423882;26.01.21;['k-pop boy group', 'k-pop']
13;Lemonade (feat. Gunna, Don Toliver & NAV);Internet Money;2370676;26.01.21;['trap', 'rap', 'pop rap']
14;Anyone;Justin Bieber;2366200;26.01.21;['canadian pop', 'post-teen pop', 'pop']
15;Levitating (feat. DaBaby);Dua Lipa;2318600;26.01.21;['uk pop', 'pop', 'dance pop']
16;34+35;Ariana Grande;2275585;26.01.21;['pop', 'post-teen pop', 'dance pop']
17;Hecha Pa' Mi;Boza;2231979;26.01.21;['reggaeton']
18;LA NOCHE DE ANOCHE;Bad Bunny;2224006;26.01.21;['trap latino', 'reggaeton', 'latin']
19;Streets;Doja Cat;2193158;26.01.21;['pop', 'dance pop']
20;The Business;Tiësto;2141609;26.01.21;['slap house', 'dutch edm', 'brostep', 'big room', 'pop dance', 'edm', 'tropical house', 'trance', 'house', 'dance pop']
21;you broke me first;Tate McRae;2069141;26.01.21;['pop', 'alt z', 'post-teen pop', 'electropop', 'dance pop']
22;Therefore I Am;Billie Eilish;2049120;26.01.21;['pop', 'electropop']
23;Lo Vas A Olvidar (with ROSALÍA);Billie Eilish;1969887;26.01.21;['pop', 'electropop']
24;What You Know Bout Love;Pop Smoke;1929296;26.01.21;['brooklyn drill']
25;Paradise (feat. Dermot Kennedy);MEDUZA;1824624;26.01.21;['pop house', 'pop dance', 'tropical house', 'edm', 'dance pop']
26;Monster (Shawn Mendes & Justin Bieber);Shawn Mendes;1815013;26.01.21;['pop', 'canadian pop', 'viral pop', 'post-teen pop', 'dance pop']
27;Someone You Loved;Lewis Capaldi;1813370;26.01.21;['uk pop', 'pop']
28;Watermelon Sugar;Harry Styles;1728060;26.01.21;['pop', 'post-teen pop']
29;Prisoner (feat. Dua Lipa);Miley Cyrus;1723950;26.01.21;['pop', 'post-teen pop', 'dance pop']
30;Head & Heart (feat. MNEK);Joel Corry;1704627;26.01.21;['uk dance', 'pop dance', 'tropical house', 'dance pop', 'edm']
31;Hawái;Maluma;1701346;26.01.21;['reggaeton colombiano', 'reggaeton', 'latin']
32;Reloj;Rauw Alejandro;1650621;26.01.21;['puerto rican pop', 'trap latino']
33;Lonely (with benny blanco);Justin Bieber;1649201;26.01.21;['canadian pop', 'post-teen pop', 'pop']
34;WAP (feat. Megan Thee Stallion);Cardi B;1640606;26.01.21;['pop rap', 'pop', 'rap', 'dance pop']
35;willow;Taylor Swift;1565429;26.01.21;['pop', 'post-teen pop']
36;ROCKSTAR (feat. Roddy Ricch);DaBaby;1552814;26.01.21;['north carolina hip hop', 'rap']
37;Sweater Weather;The Neighbourhood;1547257;26.01.21;['shimmer pop', 'modern rock', 'pop', 'modern alternative rock']
38;HOLIDAY;Lil Nas X;1543782;26.01.21;['lgbtq+ hip hop', 'pop rap']
39;For The Night (feat. Lil Baby & DaBaby);Pop Smoke;1539921;26.01.21;['brooklyn drill']
40;Afterglow;Ed Sheeran;1536854;26.01.21;['uk pop', 'pop']
41;La Nota;Manuel Turizo;1511661;26.01.21;['reggaeton colombiano', 'colombian pop', 'reggaeton', 'trap latino', 'latin']
42;Heather;Conan Gray;1510160;26.01.21;['bedroom pop', 'pop', 'alt z', 'post-teen pop', 'indie pop', 'electropop']
43;Roses - Imanbek Remix;SAINt JHN;1503617;26.01.21;['melodic rap', 'slap house', 'rap', 'pop rap']
44;Dance Monkey;Tones And I;1496671;26.01.21;['australian pop', 'pop']
45;Snowman;Sia;1469496;26.01.21;['pop', 'australian dance', 'australian pop', 'dance pop']
46;Heat Waves;Glass Animals;1426988;26.01.21;['gauze pop', 'shiver pop', 'indietronica']
47;Don't Start Now;Dua Lipa;1401557;26.01.21;['uk pop', 'pop', 'dance pop']
48;GIRL LIKE ME;Black Eyed Peas;1382881;26.01.21;['dance pop', 'pop rap', 'pop']
49;Before You Go;Lewis Capaldi;1362112;26.01.21;['uk pop', 'pop']
50;BEBÉ;Camilo;1355986;26.01.21;['reggaeton colombiano', 'colombian pop']
51;Ropa Cara;Camilo;1338249;26.01.21;['reggaeton colombiano', 'colombian pop']
52;Chica Ideal;Sebastian Yatra;1315337;26.01.21;['reggaeton colombiano', 'colombian pop', 'reggaeton', 'latin']
53;Goosebumps;HVME;1291578;26.01.21;['slap house']
54;Antes;Anuel AA;1289784;26.01.21;['trap boricua', 'trap latino', 'reggaeton', 'reggaeton flow', 'latin']
55;Skin;Sabrina Carpenter;1239437;26.01.21;['pop', 'post-teen pop', 'viral pop', 'alt z', 'dance pop', 'electropop']
56;TE MUDASTE;Bad Bunny;1214364;26.01.21;['trap latino', 'reggaeton', 'latin']
57;Laugh Now Cry Later (feat. Lil Durk);Drake;1195276;26.01.21;['toronto rap', 'canadian pop', 'canadian hip hop', 'rap', 'pop rap', 'hip hop']
58;Holy (feat. Chance The Rapper);Justin Bieber;1194280;26.01.21;['canadian pop', 'post-teen pop', 'pop']
59;Relación - Remix;Sech;1192760;26.01.21;['panamanian pop', 'trap latino', 'reggaeton', 'latin']
